genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Masculino,52,Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,18 anos,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,290824,,,,,,,
,52 anos,Exercício e saúde; Praticidade e conveniência; Mais fácil,,Invasão de carros ou motos na ciclovia,,Não,Não,290824,,,,,,,
Masculino,40 anos,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Custo \ É mais barato,,Medo de assaltos,Medo de assalto e de acidente,Não,Não,290824,,,,,,,
,40 anos.,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Machismo e desrespeito,,,Não,290824,,,,,,,
Masculino,28 anos,Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,Não,Não,290824,,,,,,,
Masculino,55 anos,Exercício e saúde;Segurança no trânsito,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,,Não,Não,290824,,,,,,,
Masculino,64 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Feminino,38 anos,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta melhor",290824,,,,,,,
Masculino,53 anos,Preferência pessoal,,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,,Não,Não,290824,,,,,,,
Feminino,29 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Feminino,45 anos,Custo \ É mais barato,,Buracos na ciclovia,,Não,Não,290824,,,,,,,
Masculino,51,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Feminino,30,Exercício e saúde;Praticidade e conveniência;Única opção,,Falta de ciclovias,,,,290824,,,,,,,
Masculino,21,Rapidez \ Tempo; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não Classificável,"Sim, por um carro",290824,,,,,,,
Masculino,54,Exercício e saúde; Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,47,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,27 anos,Custo \ É mais barato;Rapidez \ Tempo,,Lixo na ciclovia; Buracos na ciclovia,Medo de assalto e de acidente,Não,Não,290824,,,,,,,
Masculino,58,Rapidez \ Tempo;Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,290824,,,,,,,
Masculino,28,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,Sinalização inadequada; Desrespeito dos motoristas ou Trânsito,Não,Não,Não,290824,,,,,,,
Masculino,26,Praticidade e conveniência;Única opção,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,40 anos,Exercício e saúde,,Má qualidade das ciclovias,,,Não,290824,,,,,,,
Masculino,35 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,68,Exercício e saúde,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,,Não,Não,290824,,,,,,,
Masculino,39 anos,Exercício e saúde;Segurança no trânsito;Preferência pessoal,,Nenhum dos problemas/Não enfrenta dificuldade,Não,Não,Não,290824,,,,,,,
Masculino,32 anos,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,Não,Sim,Não,290824,,,,,,,
Masculino,Trinta e dois,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,Não,290824,,,,,,,
Masculino,34,Rapidez \ Tempo; Custo \ É mais barato; Praticidade e conveniência,Menos de um ano,"Má qualidade das ciclovias, Buracos na ciclovia, Desrespeito dos motoristas ou Trânsito",,Não,Não,290824,,,,,,,
Masculino,38,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,290824,,,,,,,
Feminino,24,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,290824,,,,,,,
Masculino,33,Exercício e saúde,,Má qualidade das ciclovias,,,"Sim, por uma bicicleta elétrica",290824,,,,,,,
Masculino,27,Preferência pessoal,,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Masculino,39,Custo \ É mais barato,Entre 3 e 5 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290824,,,,,,,
Masculino,39 anos,Custo \ É mais barato;Rapidez \ Tempo;Segurança no trânsito,,Buracos na ciclovia; Má qualidade das ciclovias,Não,Não,Não,290824,,,,,,,
,51 anos.,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,,Buracos na ciclovia; Outros obstáculos na ciclovia; Sinalização inadequada; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
,Quarenta,Rapidez \ Tempo,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,,Não,Não,290824,,,,,,,
Feminino,42,Exercício e saúde,,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
,A idade não é mencionada no texto.,Praticidade e conveniência,,Medo de assaltos; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Masculino,20 anos,Praticidade e conveniência;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, por uma moto",290824,,,,,,,
Feminino,A idade da pessoa não está mencionada no texto.,Rapidez \ Tempo; Praticidade e conveniência,,Nenhum dos itens,Não,Não,Não,290824,,,,,,,
Masculino,22 anos,Custo \ É mais barato,,Buracos na ciclovia; Falta de ciclovias,,,Não,290824,,,,,,,
Masculino,18 anos,Preferência pessoal,,Outros obstáculos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,17 anos,Exercício e saúde; Rapidez \ Tempo; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290824,,,,,,,
Feminino,26 anos,Exercício e saúde;Praticidade e conveniência,,Má qualidade das ciclovias; Buracos na ciclovia; Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Masculino,39 anos,Exercício e saúde,,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,52 anos,Custo \ É mais barato;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Sim,"Sim, por uma moto",290824,,,,,,,
Masculino,48 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,Não,Não,290824,,,,,,,
Masculino,21 anos,Exercício e saúde,,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,301025,,,,,,,
Feminino,39,Rapidez \ Tempo; Segurança no trânsito,Mais de 5 anos,Sinalização inadequada,"Sim, tenho medo de acidentes",Não,Não,301025,,,,,,,
Feminino,13 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,301025,,,,,,,
Masculino,37 anos,Exercício e saúde,,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,301025,,,,,,,
Masculino,32 anos,Exercício e saúde;Custo \ É mais barato;Praticidade e conveniência,Entre 2 e 3 anos,Má qualidade das ciclovias; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
Masculino,55 anos,Rapidez \ Tempo,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta melhor",301025,,,,,,,
Feminino,28 anos,Rapidez \ Tempo; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,301025,,,,,,,
Masculino,35 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",301025,,,,,,,
Masculino,56,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, mas não especifica qual meio",301025,,,,,,,
Masculino,53 anos,Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",301025,,,,,,,
Feminino,47,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",301025,,,,,,,
Masculino,16,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,,301025,,,,,,,
Feminino,16,Praticidade e conveniência;Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",301025,,,,,,,
Masculino,51 anos,Exercício e saúde,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro",301025,,,,,,,
Masculino,65 anos,Exercício e saúde,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
Masculino,46 anos,Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",301025,,,,,,,
Feminino,36 anos,Segurança no trânsito; Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
Masculino,60 anos,Praticidade e conveniência,Não aplicável,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
Masculino,40 anos,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Medo de assaltos,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
Masculino,11 anos,Preferência pessoal,Entre 3 e 5 anos,,Não,Não,"Sim, por uma moto ou por um carro",301025,,,,,,,
Feminino,31 anos,Rapidez \ Tempo; Mais fácil; Praticidade e conveniência,"Não se aplica, pois a pessoa não menciona há quanto tempo utiliza a bicicleta.",Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",301025,,,,,,,
Feminino,43 anos,Praticidade e conveniência; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
Masculino,65 anos,Preferência pessoal,,Calor ou clima; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
Masculino,59 anos,,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",301025,,,,,,,
Masculino,60 anos,Única opção; Rapidez \ Tempo,,,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",301025,,,,,,,
Masculino,18,Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",301025,,,,,,,
Masculino,12 anos,Preferência pessoal,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",301025,,,,,,,
Feminino,47 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",301025,,,,,,,
Masculino,66 anos,Preferência pessoal,Mais de 5 anos,Lixo na ciclovia; Risco de acidentes; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,Não,301025,,,,,,,
